step,lr,train_loss,val_loss,elapsed_s
1000,4.00e-04,0.2043,0.2134,264
2000,3.99e-04,0.1540,0.1640,529
3000,3.98e-04,0.1380,0.1491,792
4000,3.95e-04,0.1275,0.1360,1058
5000,3.92e-04,0.1203,0.1290,1327
6000,3.87e-04,0.1210,0.1249,1596
7000,3.82e-04,0.1175,0.1210,1856
8000,3.76e-04,0.1175,0.1184,2129
9000,3.68e-04,0.1128,0.1158,2396
10000,3.60e-04,0.1085,0.1138,277
11000,3.51e-04,0.1088,0.1127,542
12000,3.41e-04,0.1075,0.1102,808
13000,3.31e-04,0.1026,0.1090,1066
14000,3.20e-04,0.1040,0.1083,1314
15000,3.08e-04,0.1151,0.1061,1581
16000,2.96e-04,0.1059,0.1055,1871
17000,2.83e-04,0.0965,0.1040,2259
18000,2.70e-04,0.1007,0.1037,2640
19000,2.56e-04,0.1065,0.1029,3080
20000,2.43e-04,0.0995,0.1020,3359
21000,2.28e-04,0.0961,0.1009,3614
22000,2.14e-04,0.0945,0.0998,3911
23000,2.00e-04,0.0978,0.1000,4188
24000,1.86e-04,0.0932,0.0992,4469
25000,1.72e-04,0.0989,0.0980,4739
26000,1.58e-04,0.0908,0.0983,5016
27000,1.44e-04,0.0985,0.0968,5292
28000,1.30e-04,0.0981,0.0966,5559
29000,1.17e-04,0.0903,0.0960,5832
30000,1.04e-04,0.0963,0.0961,6096
31000,9.19e-05,0.0934,0.0955,6355
32000,8.02e-05,0.0932,0.0949,6624
33000,6.90e-05,0.0878,0.0947,6906
34000,5.86e-05,0.0894,0.0946,7158
35000,4.89e-05,0.0916,0.0942,7422
36000,3.99e-05,0.0944,0.0938,7702
37000,3.18e-05,0.0904,0.0937,7959
38000,2.45e-05,0.0860,0.0934,8203
39000,1.81e-05,0.0867,0.0932,8467
40000,1.26e-05,0.0983,0.0930,8725
41000,8.11e-06,0.0919,0.0929,8981
42000,4.57e-06,0.0870,0.0928,9228
43000,2.04e-06,0.0880,0.0927,9475
44000,5.11e-07,0.0925,0.0927,9736
45000,5.10e-13,0.0849,0.0927,10009
